215,44.28,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Lausanne                ,    25.08.1998
215,44.28,   Tyree Washington           ,    USA   ,  28.08.76 ,1,  Los Angeles             ,    12.05.2001
215,44.28,   Kirani James               ,    GRN   ,  01.09.92 ,2,  Zürich                  ,    03.09.2015
215,44.28,   Wayde van Niekerk          ,    RSA   ,  15.07.92 ,1,  Somerville              ,    17.06.2016
215,44.28,   Nathon Allen               ,    JAM   ,  28.10.95 ,1,  Knoxville               ,    13.05.2018
221,44.29,   Michael Johnson            ,    USA   ,  13.09.67 ,1,  Bruxelles               ,    23.08.1996
221,44.29,   Tyree Washington           ,    USA   ,  28.08.76 ,2,  Monaco                  ,    08.08.1998
221,44.29,   Derrick Brew               ,    USA   ,  28.12.77 ,1,  Athens                  ,    16.05.1999
221,44.29,   Sanderlei Claro Parrela    ,    BRA   ,  07.10.74 ,2,  Sevilla                 ,    26.08.1999
221,44.29,   Jeremy Wariner             ,    USA   ,  31.01.84 ,1,  Bruxelles               ,    25.08.2006
221,44.29,   Jeremy Wariner             ,    USA   ,  31.01.84 ,   1rA  ,  Stockholm               ,    22.07.2008
227,44.3,   Gabriel Tiacoh             ,    CIV   ,  10.09.63 ,1,  Indianapolis            ,    07.06.1986
227,44.3,   Harry Reynolds             ,    USA   ,  08.06.64 ,   1r1  ,  Köln                    ,    20.08.1989
227,44.3,   Roberto Hernández          ,    CUB   ,  06.03.67 ,1,  Monaco                  ,    12.08.1990
227,44.3,   LaMont Smith               ,    USA   ,  11.12.72 ,4,  Atlanta                 ,    19.06.1996
227,44.3,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Edmonton                ,    06.07.2014
227,44.3,   LaShawn Merritt            ,    USA   ,  27.06.86 ,1,  Monaco                  ,    18.07.2014
227,44.3,   Steven Gardiner            ,    BAH   ,  12.09.95 ,1,  Székesfehérvár          ,    07.07.2015
227,44.3,   Fred Kerley                ,    USA   ,  07.05.95 ,1,  Columbia                ,    13.05.2017
227,44.3,   Isaac Makwala              ,    BOT   ,  29.09.86 ,   1s3  ,  London                  ,    06.08.2017
236,44.31,   Harry Reynolds             ,    USA   ,  08.06.64 ,   1r1  ,  Zürich                  ,    16.08.1989
236,44.31,   Michael Johnson            ,    USA   ,  13.09.67 ,   1rA  ,  Zürich                  ,    13.08.1997
236,44.31,   Alejandro Cárdenas         ,    MEX   ,  04.09.74 ,3,  Sevilla                 ,    26.08.1999
236,44.31,   Jeremy Wariner             ,    USA   ,  31.01.84 ,   1rA  ,  Oslo                    ,    02.06.2006
236,44.31,   LaShawn Merritt            ,    USA   ,  27.06.86 ,   1s3  ,  Osaka                   ,    29.08.2007
236,44.31,   Kirani James               ,    GRN   ,  01.09.92 ,1,  Tempe                   ,    11.04.2015
236,44.31,   Wayde van Niekerk          ,    RSA   ,  15.07.92 ,   1s3  ,  Beijing                 ,    24.08.2015
243,44.32,   Gabriel Tiacoh             ,    CIV   ,  10.09.63 ,1,  Westwood                ,    17.05.1986
243,44.32,   Danny Everett              ,    USA   ,  01.11.66 ,   2s2  ,  Indianapolis            ,    18.07.1988
243,44.32,   Harry Reynolds             ,    USA   ,  08.06.64 ,1,  Malmö                   ,    10.08.1989
243,44.32,   Samson Kitur               ,    KEN   ,  25.02.66 ,1,  Roma                    ,    08.06.1994
